TOMATO, 232, 188, 251, 316, 162, 168, 287, 174, 243, 299, 164, 279, 204, 159, 172, 261, 257, 167, 211, 173, 291, 258, 165, 294
POTATO, 65, 78, 130, 130, 124, 57, 123, 124, 100, 56, 78, 55, 121, 67, 87, 103, 68, 119, 65, 123, 89, 121, 137, 73
RICE, 46, 77, 76, 52, 63, 46, 75, 44, 76, 43, 79, 53, 71, 74, 67, 60, 69, 77, 69, 63, 59, 55, 51, 55
BUTTER, 670, 797, 726, 784, 776, 737, 764, 723, 668, 680, 781, 757, 692, 737, 688, 775, 757, 660, 669, 792, 796, 730, 737, 739
FLOUR, 59, 55, 58, 65, 54, 42, 66, 42, 48, 55, 62, 61, 42, 41, 63, 62, 49, 60, 58, 61, 66, 54, 49, 62
OIL, 2195, 2484, 2155, 1823, 2272, 2163, 1972, 2425, 1919, 2305, 1860, 2023, 2094, 1932, 2053, 2207, 2200, 2308, 1882, 1970, 2259, 2211, 2362, 2084
CHICKEN, 670, 820, 881, 742, 812, 783, 794, 718, 677, 642, 690, 677, 718, 719, 606, 848, 693, 734, 744, 602, 674, 814, 873, 789
BEEF, 1212, 1189, 1063, 964, 1253, 1163, 1216, 1235, 1246, 1278, 927, 1133, 1299, 1248, 1186, 1100, 1103, 1104, 1101, 953, 1146, 1224, 1105, 931
APPLE, 224, 208, 226, 256, 220, 214, 243, 276, 206, 213, 200, 272, 219, 268, 212, 246, 278, 203, 209, 226, 278, 248, 219, 281
MILK, 86, 92, 108, 93, 100, 77, 77, 101, 99, 100, 100, 89, 75, 79, 76, 117, 91, 117, 86, 100, 114, 80, 103, 71
